type,id,question,A,B,C,D,correct,image,acceptedAnswers,image1,answer1,image2,answer2,image3,answer3,image4,answer4
mcq,105,W punkcie drugim rozkazu bojowego nie umieszcza się?,podpunktów jak w pozostałych punktach rozkazu,sposobu działania przeciwnika,warunków terenowych i atmosferycznych,informacji o sąsiadach,A,,,,,,,,,,
mcq,106,Czynniki walki zbrojnej to?,"Rażenie, Ruch, Informacja","Walka, Ruch, Obrona","Rażenie, Walka, Ruch, Informacja",,A,,,,,,,,,,
mcq,107,W punkcie pierwszym rozkazu bojowego (Sytuacja) nie umieszcza się?,zadania,przeciwnika,sił własnych,,A,,,,,,,,,,
mcq,108,Dokumenty graficzne to?,"rozkazy, zarządzenia, meldunki, sprawozdania, inne dokumenty sporządzone na mapie topograficznej lub podkładowej",to plan operacji oraz mapy działań taktycznych,załączniki do rozkazu bojowego,wszystkie dokumenty wytwarzane na stanowisku dowodzenia,A,,,,,,,,,,
mcq,109,Podczas opracowywania dokumentów graficznych?,stosuje się dowolne znaki i skróty,stosuje się tylko znaki taktyczne,stosuje się obowiązujące umowne znaki i skróty wojskowe,stosuje się tylko znaki i skróty które określił dowódca wyższego szczebla,C,,,,,,,,,,
mcq,110,W jaki sposób wykonuje się opisy dokumentów graficznych?,"Opisy dokumentów graficznych i inne objaśnienia wykonuje się pismem technicznym, pochyłym lub pionowym, równolegle do poziomej linii siatki współrzędnych lub dolnej/górnej ramki szkicu albo mapy","Opisy wykonuje się dowolnym pismem, zawsze ukośnie względem ramki mapy",Opisy wykonuje się wyłącznie drukowanymi literami wzdłuż pionowej linii siatki współrzędnych,"Opisy wykonuje się tylko kolorem czerwonym, niezależnie od treści dokumentu",A,,,,,,,,,,
mcq,111,"Do oznaczania wojsk własnych stosuje się znaki graficzne z niezbędnymi opisami, nanoszone kolorem?","NIEBIESKIM lub czarnym, wówczas przeciwnik rysowany linią podwójną",niebieskim,czerwonym,,A,,,,,,,,,,
mcq,112,W jaki sposób nanosimy na mapę położenie wojsk i obiektów rzeczywiste oraz planowane i pozorne?,"Rzeczywiste – linią ciągłą, planowane – linią przerywaną, pozorne – specjalnymi oznaczeniami, np. kropkowane linie lub symbole z dodatkowymi znakami","Rzeczywiste – linią przerywaną, planowane – linią ciągłą, pozorne – specjalnymi oznaczeniami, np. kropkowane linie lub symbole z dodatkowymi znakami","Rzeczywiste – specjalnymi oznaczeniami, planowane – linią przerywaną, pozorne – linią ciągłą",,A,,,,,,,,,,
mcq,113,"W jaki sposób dowiązuje się do mapy topograficznej oleaty, kalki, folie?","Dowiązuje się do mapy w odpowiedniej skali, oznaczając przynajmniej trzy charakterystyczne punkty dowiązania","Dowiązuje się do mapy w odpowiedniej skali, oznaczając przynajmniej cztery charakterystyczne punkty dowiązania",żadna z odpowiedzi nie jest prawidłowa,,A,,,,,,,,,,
mcq,114,Dokumenty dowodzenia można podzielić na?,"Rozkazy, zarządzenia, dyrektywy","Dyrektywne, planistyczne, sprawozdawczo informacyjne, pomocnicze","Meldunki, sprawozdania, mapy operacyjne, komunikaty",,B,,,,,,,,,,
mcq,115,Rozkaz bojowy składa się z następujących punktów?,"sytuacja, zadanie, realizacja, zabezpieczenie logistyczne, dowodzenie i łączność","przeciwnik, wojska własne, sąsiedzi, zabezpieczenie logistyczne, dowodzenie","rozpoznanie, analizowanie, stawianie zadań, kontrola",,A,,,,,,,,,,
mcq,116,ATO jest rozkazem bojowym dla?,"rozkaz bojowy dla pilotów, Sił Powietrznych","rozkaz bojowy dla nawigatorów, Sił Powietrznych",rozkaz bojowy dla żołnierzy Skrzydła Taktycznego,,A,,,,,,,,,,
mcq,117,Podstawowymi dokumentami dowodzenia są?,"warianty działania przeciwnika i wojsk własnych, meldunek sytuacyjny, dokumenty planistyczne sztabu","rozkaz bojowy, zarządzenie bojowe, wstępne zarządzenie bojowe","komunikat rozpoznawczy, meldunek bojowy, dziennik działań, mapa sytuacyjna",,B,,,,,,,,,,
mcq,118,W czasie realizacji procesu dowodzenia mogą być organizowane następujące odprawy?,"zasadnicza, zadaniowa, podsumowująca","analityczna, zadaniowa, wykonawcza","informacyjna, koordynacyjna, decyzyjna",,C,,,,,,,,,,
mcq,119,Do dokumentów sprawozdawczo informacyjnych dowodzenia nie zaliczamy?,"rozkazów, dyrektyw, zarządzeń","meldunków, sprawozdań, dzienników działań","map sytuacyjnych, komunikatów rozpoznawczych",,A,,,,,,,,,,
mcq,120,"Wyróżnia się trzy rodzaje załączników, uzupełnień i dodatków w dokumentach dowodzenia?","otwarte, zamknięte, mieszane","oleaty, mapy, tabele","pisemne, graficzne, tabelaryczne",,C,,,,,,,,,,
mcq,121,Zarządzenie przygotowawcze?,"jest dokumentem sprawozdawczym, informacyjnym",nie występuje taki dokument,"jest dokumentem bojowym, którego celem jest uruchomienie procesu przygotowania podległych pododdziałów do przyszłych zadań bojowych",jest dokumentem rozpoznawczym,C,,,,,,,,,,
mcq,122,Kiedy jest wydawane Wstępne zarządzenie bojowe?,po odprawie decyzyjnej,po wydaniu Rozkazu bojowego,po odprawie informacyjnej,po odprawie koordynacyjnej,A,,,,,,,,,,
mcq,123,Jaki jest układ Zarządzenia bojowego?,"taki sam jak Rozkazu bojowego, jednak zawiera tylko te treści, które nie były podane we wcześniejszych rozkazach lub je zmienia",wszystkie odpowiedzi są prawidłowe,decyduje o tym dowódca na stanowisku dowodzenia,"taki sam jak Rozkazu bojowego, zawiera te same treści, które były podane we wcześniejszych rozkazach",A,,,,,,,,,,
mcq,124,Proces dowodzenia to?,to cykl informacyjno-decyzyjny jednakowy na wszystkich szczeblach dowodzenia polegający na cyklicznej realizacji czynności w ramach funkcji dowodzenia,to cykl informacyjno-decyzyjny na pojedynczym szczeblu dowodzenia polegający na cyklicznej realizacji czynności w ramach funkcji dowodzenia,żadna odpowiedź nie jest prawidłowa,,A,,,,,,,,,,
mcq,125,Jakie fazy realizowane są w ramach procesu dowodzenia?,"ustalenie położenia, planowanie, stawianie zadań, kontrola","analiza zadania, ocena czynników wpływających na wykonanie zadania, rozważenie i porównanie wariantów działania","planowanie, organizowanie, przewodzenie, kontrolowanie",,A,,,,,,,,,,
mcq,126,W ramach której fazy procesu dowodzenia podejmowana jest decyzja dowódcy?,Planowania,Oceny sytuacji,Analizy zadania,,A,,,,,,,,,,
mcq,127,W ramach której fazy procesu dowodzenia opracowywany jest rozkaz bojowy?,Planowania,Oceny sytuacji,Analizy zadania,,A,,,,,,,,,,
mcq,128,Wskaż właściwą kolejność etapów planowania jako fazy procesu dowodzenia?,"Ocena sytuacji, Decyzja, Opracowanie planu działania, Opracowanie rozkazu bojowego","Decyzja, Ocena sytuacji, Opracowanie planu działania, Opracowanie rozkazu bojowego","Ocena sytuacji, Decyzja, Opracowanie zarządzenia przygotowawczego, Opracowanie rozkazu bojowego",,A,,,,,,,,,,
mcq,129,W ramach oceny sytuacji należy zrealizować następujące czynności?,"orientowanie, ocena czynników i opracowanie wariantów działania, rozważenie wariantów działania, porównanie wariantów działania","ustalenie położenia, ocena czynników i opracowanie wariantów działania, rozważenie wariantów działania, porównanie wariantów działania","ustalenie położenia, planowanie, stawienie zadań, kontrola","analiza zadania, ocena czynników i opracowanie wariantów działania, rozważenie wariantów działania, porównanie wariantów działania",D,,,,,,,,,,
mcq,130,Czynnością realizowaną w ramach oceny sytuacji nie jest?,planowanie,analiza zadania,porównanie wariantów działania,,A,,,,,,,,,,
mcq,131,Wstępne zarządzenie bojowe można wydać?,"po podjęciu decyzji i określeniu zamiaru, gdy pododdział nie znajduje się jeszcze w rejonie przyszłych działań, a istnieją warunki do rozpoczęcia planowania",wyłącznie po całkowitym zakończeniu działań bojowych i sporządzeniu meldunku końcowego,zawsze dopiero po wydaniu pełnego rozkazu bojowego wszystkim podwładnym,tylko w czasie pokoju podczas szkolenia sztabowego,A,,,,,,,,,,
mcq,132,"Ustalenie położenia, jako pierwsza faza procesu dowodzenia ma na celu?","stworzenie dowódcy maksymalnie przejrzystego obrazu sytuacji w celu jej oceny, podjęcia decyzji, postawienia zadań i dowodzenia podległymi siłami",opracowanie ostatecznego rozkazu bojowego bez prowadzenia dalszej analizy sytuacji,wyłącznie sprawdzenie stanu technicznego sprzętu i uzbrojenia pododdziału,przekazanie podwładnym gotowego wariantu działania bez oceny sytuacji,A,,,,,,,,,,
mcq,133,Pierwszą czynnością fazy planowania i etapu oceny sytuacji jest?,Analiza zadania,Ocena sytuacji,Ustalenie położenia,,A,,,,,,,,,,
mcq,134,Analiza zadania powinna określać?,"cel zadania, zakres zadania, zasoby, czas, ryzyko, warunki terenowe, zadania podległych jednostek, przewidywane reakcje przeciwnika",wyłącznie skład osobowy pododdziału oraz wykaz uzbrojenia,tylko sposób prowadzenia łączności i rozmieszczenie stanowisk dowodzenia,jedynie przewidywane warunki atmosferyczne i porę dnia,A,,,,,,,,,,
mcq,135,"W ramach oceny sytuacji dokonuje się oceny czynników wpływających na wykonanie zadania. Wskaż prawidłowo grupy czynników, które należy poddać ocenie?","ocena przeciwnika, ocena wojsk własnych, ocena środowiska obejmująca warunki terenowe, atmosferyczne, ludność i czas",wyłącznie ocena przeciwnika oraz jego zamiaru działania,tylko ocena wojsk własnych i dostępnych środków transportu,"ocena dokumentów sprawozdawczych, map i załączników",A,,,,,,,,,,
mcq,136,W ramach oceny środowiska nie ocenia się?,wpływu warunków atmosferycznych na zastosowanie uzbrojenia,sił przeciwnika,warunków atmosferycznych,terenu,B,,,,,,,,,,
mcq,137,Decyzja dowódcy to?,odrzucenie przez dowódcę wszystkich zaproponowanych wariantów działania,rekomendowanie konkretnego wariantu działania,"jednorazowy akt woli dowódcy, w celu świadomego wyboru jednego z kilku wariantów działania",zaproponowanie konkretnego działania,C,,,,,,,,,,
mcq,138,Ostatnią fazą procesu dowodzenia jest?,kontrola,opracowanie rozkazu bojowego,porównanie wariantów działania,,A,,,,,,,,,,
mcq,139,Nepotyzm to?,niekarane formy korupcji,przestępstwa,wykroczenia,,A,,,,,,,,,,
mcq,140,Do przesłanek korupcji zalicza się?,"uprawnienia władcze, władza",wyłącznie wykonywanie obowiązków administracyjnych bez wpływu na decyzje,brak dostępu do informacji i brak kontaktu z interesantami,jedynie praca zespołowa bez odpowiedzialności decyzyjnej,A,,,,,,,,,,
mcq,141,Jednym z kierunków zagrożeń korupcją w Siłach Zbrojnych RP jest?,transfer technologii,wyłącznie szkolenie fizyczne żołnierzy,organizacja czasu wolnego w jednostce,prowadzenie zajęć sportowych,A,,,,,,,,,,
mcq,142,Do mechanizmów ustawiania przetargów zalicza się?,zbędne pozycje w zamówieniu,losowy dobór komisji bez wpływu na wynik,przejrzyste publikowanie pełnej dokumentacji,kontrola formalna zgodna z procedurami,A,,,,,,,,,,
mcq,143,Do mechanizmów korupcjogennych zalicza się?,konflikt interesów,jawność postępowania,przejrzystość procedur,rotacyjność stanowisk,A,,,,,,,,,,
mcq,144,Rekomendacje GRECO pochodzą od?,Grupy Państw Przeciwko Korupcji,Głównego Rejestru Ewidencji Cywilno-Obronnej,Generalnej Rady Ekspertów Kontroli Operacyjnej,Grupy Reagowania Ekonomicznego Centrum Operacyjnego,A,,,,,,,,,,
mcq,145,Kompleksowy program antykorupcyjny realizowany przez Ministerstwo Obrony Narodowej ma na celu?,budowanie przejrzystości,ograniczenie jawności procedur,likwidację kontroli wewnętrznej,utajnienie zamówień publicznych,A,,,,,,,,,,
mcq,146,Do zasadniczych mechanizmów obronnych zalicza się?,procedura informowania przełożonych o nieprawidłowościach,unikanie zgłaszania podejrzeń przełożonym,ukrywanie konfliktu interesów,przyjmowanie nieformalnych korzyści,A,,,,,,,,,,
mcq,147,W przypadku zaistnienia przestępstwa korupcyjnego żołnierz?,dokonuje zatrzymania obywatelskiego,nie podejmuje żadnych czynności do czasu zakończenia służby,może pominąć zgłoszenie zdarzenia,zabezpiecza sprawcę bez powiadamiania przełożonych,A,,,,,,,,,,
mcq,148,W przypadku niezawiadomienia o ofercie korupcyjnej żołnierz?,"skutkuje możliwością postawienia zarzutu z art. 231 kk, czyli niedopełnienia obowiązków służbowych",jest prawem żołnierza,nie rodzi skutków prawnych,,A,,,,,,,,,,
mcq,149,Izolowany personel wojskowy to?,"Osoby, które zostały porwane i są przetrzymywane","Osoby, które na skutek oddziaływania przeciwnika zgubiły się, uległy wypadkowi lub zostały przechwycone","Personel, który został odseparowany od macierzystej jednostki i zmuszony do stosowania technik przeżycia, ukrywania się, przeciwstawienia wykorzystaniu i ucieczki","Personel, który utracił kontakt w wyniku osadzenia w więzieniu",C,,,,,,,,,,
mcq,150,Czy SERE to?,Szkolenie żołnierzy narażonych na izolację,Metody unikania przeciwnika,Plan ucieczki z niewoli po zatrzymaniu,,A,,,,,,,,,,
mcq,151,Kto podlega przeszkoleniu w zakresie SERE poziomu A?,Personel szczególnie narażony na izolację,Wszyscy żołnierze,Personel jednostek lotniczych z uwagi na możliwość ich zestrzelenia,,B,,,,,,,,,,
mcq,152,Do jakiej litery w akronimie PLWF zaliczymy ogień?,każdej,P,W,,A,,,,,,,,,,
mcq,153,Podstawowym narzędziem do rozpalania ognia w szkoleniu SERE jest?,krzesiwo,zapałki sztormowe,krzemień,,A,,,,,,,,,,
mcq,154,O czym mówi metoda traffic lights w szkoleniu SERE?,"o zachowaniu podczas przesłuchania w zależności od sytuacji: zielona – bezpiecznie, żółta – zagrożenie zdrowia, czerwona – zagrożenie życia",o sposobie oznaczania tras ewakuacji kolorami na mapie,o kolejności nadawania sygnałów świetlnych podczas naprowadzania śmigłowca,o zasadach rozpalania ognia w dzień i w nocy,A,,,,,,,,,,
mcq,155,Jaka substancja nie przyda się do uzdatniania wody metodą chemiczną?,sód,chlor,jod,chloramina,A,,,,,,,,,,
mcq,156,W szkoleniu SERE legenda ma na celu?,"stworzenie spójnej, wcześniej ustalonej historii przykrywkowej stosowanej w przypadku zatrzymania lub przesłuchania, aby chronić prawdziwe informacje o misji",oznaczenie na mapie miejsc ukrycia i punktów poboru wody,opisanie wyposażenia indywidualnego żołnierza podczas izolacji,określenie kolejności działań po odnalezieniu przez siły własne,A,,,,,,,,,,
mcq,157,Kto powinien przejść szkolenie poziomu B w zakresie SERE?,"personel wyznaczony na misję poza terytorium kraju, piloci",wszyscy żołnierze i personel cywilny wojska,personel szczególnie narażony na izolację podczas akcji bojowych,,A,,,,,,,,,,
mcq,158,Szkoleniem SERE poziomu C powinni być objęci?,żołnierze udający się na misję pokojowe poza terytorium kraju,żołnierze i osoby cywilne udający się na misję pokojowe poza terytorium kraju,wszyscy żołnierze i personel cywilny wojska,personel szczególnie narażony na izolację podczas akcji bojowych,D,,,,,,,,,,
mcq,159,Jak należy rozumieć Międzynarodowe Prawo Konfliktów Zbrojnych?,Zbiór przepisów walczących stron o charakterze strategicznym,Zespół norm mających na celu ochronę ofiar konfliktów zbrojnych,Kodeks honorowy walczących żołnierzy,Zbiór przepisów umożliwiających uzyskanie dominacji na polu walki,B,,,,,,,,,,
mcq,160,Komu przysługuje status kombatanta?,"Żołnierzom, partyzantom, powstańcom, pospolitemu ruszeniu","Szpiegom, najemnikom, dywersantom","Żołnierzom, partyzantom, powstańcom, szpiegom","Żołnierzom, partyzantom, powstańcom, kapelanom i lekarzom",A,,,,,,,,,,
mcq,161,Pod jaką władzą znajduje się jeniec wojenny?,Państwa nieprzyjacielskiego,"Żołnierza, który wziął do niewoli",Nieprzyjacielskiego oddziału wojskowego,"Dowódcy oddziału nieprzyjacielskiego, który wziął do niewoli",A,,,,,,,,,,
mcq,162,Jakie organizacje humanitarne o zasięgu międzynarodowym mogą realizować zadania w trakcie działań zbrojnych?,"Czerwony krzyż, krajowe zakłady lecznicze","Czerwony krzyż, czerwony półksiężyc, czerwony romb","Czerwony półksiężyc, spółdzielnie medyczne świadczące usługi dla pacjentów krajowych oraz zagranicznych","Czerwony romb, lekarze prywatnej praktyki oraz zatrudnieni w państwowych klinikach",B,,,,,,,,,,
mcq,163,Jakie obiekty cywilne podlegają ochronie podczas działań zbrojnych?,"Szkoły, przedszkola, budynki mieszkalne, muzea, kościoły, teatry, szpitale, sanatoria","Muzea, kościoły, budynki mieszkalne wykorzystane na zakwaterowanie przez wojsko",Infrastruktura budowlana należąca do szkół i uczelni wojskowych,Zakłady cywilne produkujące sprzęt wojskowy,A,,,,,,,,,,
mcq,164,Jakie zakazy obowiązują walczące strony wobec państw neutralnych podczas działań wojennych?,"Zakaz atakowania obywateli, terytorium, statków powietrznych, morskich i pojazdów lądowych",Zakaz prowadzenia działalności handlowej,Zakaz kupowania uzbrojenia,Zakaz przeprowadzania przez terytorium państwa transportów z osobami chorymi,A,,,,,,,,,,
mcq,165,Jakie środki pola walki zakazane są podczas działań zbrojnych?,"Miny przeciwpiechotne, broń chemiczna, broń biologiczna, broń laserowa, trucizny, pociski rozpłaszczające się lub niewykrywalne promieniami Roentgena","Broń atomowa, termojądrowa, neutronowa","Drony, rakiety do przenoszenia materiałów wybuchowych",Statki podwodne i kosmiczne,A,,,,,,,,,,
mcq,166,Jakie metody walki są zakazane?,"Głodzenie, wiarołomstwo, zadawanie niepotrzebnych cierpień, bezprawne używanie znaków rozpoznawczych organizacji humanitarnych lub pokojowych, niedarowanie życia osobom wyłączonym z walki",Fortele,Podstępy,Rokowania pokojowe,A,,,,,,,,,,
mcq,167,Jakie osoby podlegają bezwzględnej ochronie w działaniach zbrojnych?,"Osoby cywilne, personel duchowny, personel medyczny, medyczne środki transportu, osoby wyłączone z walki, personel pomocy humanitarnej, dziennikarze cywilni",Walczący żołnierze,"Załogi wojskowych statków powietrznych, morskich i pojazdów lądowych",Osoby zatrudnione przy produkcji sprzętu wojskowego,A,,,,,,,,,,
mcq,168,"Czy zmuszanie lub nakłanianie ludności cywilnej do służby wojskowej w siłach zbrojnych przeciwnika, przymusowe przesiedlanie ludności cywilnej z terytoriów okupowanych, deportacja lub przesiedlanie własnej ludności cywilnej na terytorium okupowane, rabunek i branie zakładników podczas działań zbrojnych, to?",Działanie legalne,Działanie nielegalne,Działanie dopuszczalne,Zbrodnia wojenna,D,,,,,,,,,,
mcq,169,Kto może być kombatantem w świetle MPHKZ?,osoba biorąca udział w walkach zbrojnych,osoba przypadkowo znajdująca się na terenie działań zbrojnych,osoba przewidziana do poboru wojskowego,,A,,,,,,,,,,
mcq,170,"Jakie wymogi musi spełniać osoba niebędąca żołnierzem, uczestnicząca w walce zbrojnej, aby uznać ją za kombatanta?","Mieć na czele osobę odpowiedzialną za swych podwładnych, nosić stały i dający się z daleka rozpoznać znak rozpoznawczy, jawnie nosić broń, przestrzegać w swych działaniach praw i zwyczajów wojny",Uczestniczyć w walce obronnej,Walczyć w obronie własnej,,A,,,,,,,,,,
mcq,171,Kto nie może być kombatantem?,"Najemnik, szpieg, dywersant",Dezerter,Żołnierze agresora biorący udział w walce zbrojnej,,A,,,,,,,,,,
mcq,172,Czy pojmany do niewoli żołnierz może być ukarany karą śmierci za ucieczkę z niewoli?,Tak,Nie,Jeżeli zadecyduje o tym dowódca obozu jenieckiego,,B,,,,,,,,,,
mcq,173,"Czy żołnierze przeciwnika wyeliminowani z walki, chorzy, ranni, rozbitkowie, mogą być zabijani, dobijani, traktowani w sposób niehumanitarny?",Tak,Nie,W zależności od decyzji walczących żołnierzy strony przeciwnej,,B,,,,,,,,,,
mcq,174,"Czy można w dowolny sposób atakować osoby cywilne oraz obiekty nieposiadające charakteru wojskowego, np. szpitale, konwoje humanitarne, szkoły?",Tak,Nie,Bez ograniczeń,,B,,,,,,,,,,
mcq,175,Czy wojsko może zastępować władzę sądowniczą w stosunku do osób cywilnych na okupowanym terenie?,Tak,Nie,Od czasu do czasu,,B,,,,,,,,,,
mcq,176,Jakie dobra kultury podlegają ochronie podczas działań zbrojnych?,"Ruchome, np. zbiory muzealne, i nieruchome, np. pomniki, teatry, historyczne budowle",Wyłącznie dobra ruchome,Wyłącznie dobra nieruchome,,A,,,,,,,,,,
mcq,177,Strzelanie rozpoczyna się po podniesieniu jakiego koloru chorągwi na stanowisku dowodzenia kierownika strzelania?,czerwonej,białej,zielonej,,A,,,,,,,,,,
mcq,178,"Przy przekazywaniu broni sobie nawzajem, kategorycznie musimy najpierw?","Rozładować broń i upewnić się, że wylot lufy jest skierowany w bezpieczną stronę","nic nie musimy, wystarczy przekazać",podać punkt do rozkazu,,A,,,,,,,,,,
mcq,179,Reguła BLOS w szkoleniu strzeleckim oznacza?,"Broń – sprawdzenie stanu broni, Lufa – kierunek w bezpieczną stronę, Otoczenie – kontrola otoczenia przed strzałem, Spust – palec poza językiem spustowym do momentu oddania strzału","Bezpieczeństwo – lokalizacja – obserwacja – sygnał, czyli zasady poruszania się po strzelnicy","Broń – lornetka – odległość – stanowisko, czyli kolejność przygotowania do obserwacji celu",Bezpieczne ładowanie oraz obsługa sprzętu podczas marszu,A,,,,,,,,,,
mcq,180,Kto jest odpowiedzialny za przestrzeganie warunków bezpieczeństwa na strzelnicy?,Każdy żołnierz,kierownik zajęć,kierownik strzelania,,A,,,,,,,,,,
mcq,181,Czy dozwolona jest zmiana chwytu ręki lub przekładanie z ręki do ręki granatu uzbrojonego przed rzutem granatem?,NIE. Kategorycznie zabrania się przekładania granatu uzbrojonego z ręki do ręki,TAK. Pod nadzorem kierownika zajęć,TAK. Samodzielnie,,A,,,,,,,,,,
mcq,182,"W celu natychmiastowego przerwania ognia przez wszystkich strzelających, kierownik strzelania podaje przez urządzenia techniczne lub głosem komendę?",Przerwij ogień,Przerwij strzelania,Zakaz strzelania,,A,,,,,,,,,,
mcq,183,Kto i kiedy określa sposób poruszania się po strzelnicy lub obiekcie?,kierownik strzelania – w czasie części wstępnej do zajęć,dowódca plutonu – 3 dni przed zajęciami,kierownik strzelnicy – w czasie przyjazdu wojska na obiekt,obsługa strzelnicy – w czasie trwania zajęć,A,,,,,,,,,,
mcq,184,Czy dopuszczalne jest przewożenie broni załadowanej?,"NIE. Zgodnie z instrukcją PSBS 2024 przewożenie broni załadowanej jest zabronione, o ile nie określają tego inne przepisy",TAK. Dozwolone jest zgodnie z nową instrukcją PSBS 2024,TAK. W każdym wypadku,,A,,,,,,,,,,
mcq,185,Pierwsze czynności podczas kontaktu z bronią?,Sprawdzenie rozładowania broni i stosowanie BLOS,Wyczyszczenie broni i sprawdzenie przyrządów celowniczych,Podłączenie magazynka i odbezpieczenie broni,,A,,,,,,,,,,
mcq,186,Czy konieczne jest podawanie warunków bezpieczeństwa przed strzelaniem?,TAK. zawsze,"NIE. Można pominąć, każdy żołnierz powinien znać","NIE. Można pominąć, jeśli uzna się, że są zbędne",,A,,,,,,,,,,
mcq,187,Host Nation Support to?,"cywilna i wojskowa pomoc, świadczona przez państwo-gospodarza dla sił sojuszniczych i organizacji NATO","pozarządowa pomoc, świadczona przez państwo-gospodarza dla sił sojuszniczych i organizacji NATO","społeczna inicjatywa pomocy, świadczona przez państwo-gospodarza dla sił sojuszniczych i organizacji NATO",działania organów porządku i bezpieczeństwa publicznego,A,,,,,,,,,,
mcq,188,Celem HNS jest udzielenie wsparcia dowódcom NATO oraz państwom wysyłającym swoje siły zbrojne do zadań poza granicami państwa?,we wszystkich stanach stabilności państwa,w okresie pokoju,w sytuacjach kryzysowych,w czasie wojny,A,,,,,,,,,,
mcq,189,Zadania HNS realizowane są we wszystkich stanach stabilności państwa?,przez siły wojskowe i cywilne,przez ochotnicze organizacje paramilitarne,przez społeczeństwo,przez siły i środki obrony cywilnej,A,,,,,,,,,,
mcq,190,Głównym celem realizacji zadań HNS na terenie państwa jest?,ułatwienie wprowadzenia sił Sojuszu do operacji obronnej na terytorium RP,dokonanie analizy możliwości państwa do zadań obronnych,wspomaganie systemu przygotowania obronnego,uporządkowanie procesu planowania kryzysowego,A,,,,,,,,,,
mcq,191,Odpowiedzialność za koordynację w zakresie HNS ponosi?,dowódca odpowiedniego poziomu dowodzenia w strukturze NATO,dowódca zgrupowania operacyjnego,odpowiedni szczebel administracji publicznej państwa wysyłającego,organ decyzyjny w systemie bezpieczeństwa wewnętrznego państwa,A,,,,,,,,,,
mcq,192,Odpowiedzialność za całość spraw dotyczących HNS w państwie ponosi?,Prezes Rady Ministrów,Minister Spraw Wewnętrznych,Minister Aktywów Państwowych,Centrum Rekrutacji Wojskowej,A,,,,,,,,,,
mcq,193,Organem planistyczno-organizacyjnym w sprawach HNS w państwie jest?,MON poprzez Zarząd Logistyki SZ gen WP,Rządowe Centrum Bezpieczeństwa,Komendant Główny PSP,Wojewódzki Komendant Policji,A,,,,,,,,,,
mcq,194,Szef Zarządu Logistyki Sztabu Gen. WP jest pełnomocnikiem MON?,w sprawach HNS w państwie,w sprawach HNS w resorcie obrony narodowej,w sytuacjach kryzysowych,w czasie pokoju,A,,,,,,,,,,
mcq,195,Zadania HNS na poziomie województwa znajdują się w?,Planie operacyjnym funkcjonowania województwa,Strategii rozwoju województwa,Planie ratowniczym na wypadek katastrof,Strategii obronnej państwa,A,,,,,,,,,,
mcq,196,Koordynacja w realizacji zadań HNS pomiędzy siłami zbrojnymi i administracją publiczną odbywa się za pośrednictwem?,Centrum Rekrutacji Wojskowej,Państwowej Straży Pożarnej,Policji,Szefa obrony cywilnej państwa,A,,,,,,,,,,
mcq,197,Co to jest środowisko naturalne?,To obszar otaczający człowieka,"To obszar otaczający człowieka, w którym żyją inni ludzie","To obszar otaczający człowieka, w którym żyją zwierzęta","To obszar otaczający człowieka, w którym żyją inni ludzie, zwierzęta i rośliny",D,,,,,,,,,,
mcq,198,Przeciętne dzienne zużycie wody w Polsce na jednego mieszkańca wynosi?,50 litrów,90 litrów,110 litrów,140 litrów,D,,,,,,,,,,
mcq,199,"Ropa naftowa i jej pochodne zagrażają zanieczyszczeniu wód powierzchniowych, gruntowych, cieków wodnych. Dla ryb ich śmiertelna dawka na litr wody wynosi?",1 g,5 g,8 g,12 g,A,,,,,,,,,,
mcq,200,"Podczas poruszania się pojazdami na poligonach należy przygotować tylko trasę przejazdu, czy również?",omijać tereny podlegające szczególnej ochronie oraz uwzględniać warunki atmosferyczne,wykorzystywać istniejące drogi i wykonywać pojazdami duży promień skrętu,powoli i równomiernie przyspieszać i zwalniać,przestrzegać wszystkich powyższych zasad,D,,,,,,,,,,
mcq,201,Jak powinno się neutralizować w warunkach polowych nieczystości pochodzące z sanitariatów polowych?,sanitariaty powinny być wybudowane z dala od cieków wodnych,nieczystości powinno się zasypywać piaskiem zaraz po zakończeniu ćwiczeń w warunkach polowych,powinno się po zakończeniu ćwiczeń zdezynfekować nieczystości wapnem,"powinno się budować sanitariaty z dala od wody, a pozostałe po ćwiczeniach nieczystości należy zdezynfekować wapnem lub mlekiem wapiennym oraz przykryć warstwą ziemi",D,,,,,,,,,,
mcq,202,"W czasie tankowania pojazdów i statków powietrznych w warunkach polowych, dbając o środowisko naturalne należy?","tylko zwracać uwagę na podłoże, czy jest wybetonowane lub wyasfaltowane i pozwala na szybką neutralizację paliwa i smaru czy oleju",wystarczy nie stosować zasady tankowania do pełna pod korek,dysponować na miejscu materiałami wiążącymi i neutralizującymi paliwa i smary,stosować wszystkie wyżej wymienione procedury,D,,,,,,,,,,
mcq,203,Czy są możliwości ograniczenia zanieczyszczenia powietrza w jednostce wojskowej?,nie dotyczy to wojska,"powinno się dbać o pojazdy służbowe i prywatne, by nie emitowały zanieczyszczeń powyżej ustalonych norm i nie spalać w jednostce wojskowej odpadów",racjonalnie wykorzystywać urządzenia grzewcze,powinno się utrzymywać pojazdy służbowe i prywatne w dobrym stanie technicznym poddając je częstym kontrolom oraz nie spalać w jednostce wojskowej odpadów i racjonalnie wykorzystywać urządzenia grzewcze,D,,,,,,,,,,
